customer_id,customer_name,email,registration_date,customer_type
CUST00050,Siddharth Zacharia,siddharth.zacharia50@example.com,2026-03-17,PREMIUM
CUST00051,Devika Rastogi,devika.rastogi51@example.com,2026-01-13,PREMIUM
CUST00052,Raksha Varughese,raksha.varughese52@example.com,2026-02-18,PREMIUM
CUST00053,Jai Kota,jai.kota53@example.com,2026-01-05,PREMIUM
CUST00054,Devansh Nigam,devansh.nigam54@example.com,2026-02-14,PREMIUM
CUST00055,Victor Kannan,victor.kannan55@example.com,2025-06-14,PREMIUM
CUST00056,Ekavir Bhargava,ekavir.bhargava56@example.com,2026-06-20,REGULAR
CUST00057,Ekansh Balay,ekansh.balay57@example.com,2026-06-06,REGULAR
CUST00058,Ekavir Varkey,ekavir.varkey58@example.com,2026-02-07,REGULAR
CUST00059,Arya Sunder,arya.sunder59@example.com,2025-02-19,REGULAR
CUST00060,Kevin Solanki,kevin.solanki60@example.com,2025-06-28,REGULAR
CUST00061,Urvashi Ray,urvashi.ray,2025-06-27,REGULAR
CUST00062,Girindra Chatterjee,girindra.chatterjee62@example.com,2025-09-14,REGULAR
CUST00063,Irya Sampath,irya.sampath63@example.com,2026-06-04,REGULAR
CUST00064,Unni Bhagat,unni.bhagat64@example.com,2026-03-20,REGULAR
CUST00065,Darsh Rau,darsh.rau65@example.com,2026-01-03,PREMIUM
CUST00066,Ikbal Kothari,ikbal.kothari66@example.com,2025-03-17,REGULAR
CUST00067,Ranveer Yadav,ranveer.yadav67@example.com,2025-11-16,REGULAR
CUST00068,Logan Sami,logan.sami68@example.com,2026-06-08,REGULAR
CUST00069,Arya Shere,arya.shere69@example.com,2025-02-17,REGULAR
CUST00070,Faqid Savant,faqid.savant70@example.com,2025-03-26,REGULAR
CUST00071,Chandresh Zachariah,chandresh.zachariah71@example.com,2025-12-15,REGULAR
CUST00072,Girik Khalsa,girik.khalsa72@example.com,2025-12-26,REGULAR
CUST00073,Niharika Sunder,niharika.sunder73@example.com,2025-12-11,PREMIUM
CUST00074,Tanay Rattan,tanay.rattan74@example.com,2025-03-18,REGULAR
CUST00075,Nitesh Raghavan,nitesh.raghavan75@example.com,2025-01-12,VIP
CUST00076,Madhavi Lanka,madhavi.lanka76@example.com,2025-07-03,REGULAR
CUST00077,Bhavika Sampath,bhavika.sampath77@example.com,2025-06-16,PREMIUM
CUST00078,Mohammed Gupta,mohammed.gupta78@example.com,2025-05-08,REGULAR
CUST00079,Teerth Bhardwaj,teerth.bhardwaj79@example.com,2025-07-25,PREMIUM
CUST00080,Dipta Bhandari,dipta.bhandari80@example.com,2025-08-10,REGULAR
CUST00081,Vansha Thakkar,vansha.thakkar81@example.com,2026-03-08,REGULAR
CUST00082,Dakshesh Trivedi,dakshesh.trivedi82@example.com,2025-05-28,REGULAR
CUST00083,Quincy Biswas,quincy.biswas83@example.com,2026-03-26,PREMIUM
CUST00084,Wahab Raval,wahab.raval84@example.com,2025-09-01,REGULAR
CUST00085,Yatin Baral,yatin.baral85@example.com,2026-01-26,PREMIUM
CUST00086,Oni Virk,oni.virk86@example.com,2025-02-14,VIP
CUST00087,Advika Jayaraman,advika.jayaraman87@example.com,2025-05-25,REGULAR
CUST00088,William Lanka,william.lanka88@example.com,2025-07-02,REGULAR
CUST00089,Karan Mital,karan.mital89@example.com,2026-03-19,REGULAR
CUST00090,Diya Bora,diya.bora90@example.com,2026-04-27,REGULAR
CUST00091,Tara Chaudhry,tara.chaudhry91@example.com,2026-03-16,REGULAR
CUST00092,Tanay Toor,tanay.toor92@example.com,2025-06-08,REGULAR
CUST00093,Kevin Palla,kevin.palla93@example.com,2025-07-26,REGULAR
CUST00094,Yash Pingle,yash.pingle94@example.com,2025-08-22,REGULAR
CUST00095,Nakul Sarma,nakul.sarma95@example.com,2025-02-26,REGULAR
CUST00096,Abhiram Mistry,abhiram.mistry96@example.com,2026-03-14,VIP
CUST00097,Krish Lalla,krish.lalla97@example.com,2025-06-15,REGULAR
CUST00098,Hredhaan Dugal,hredhaan.dugal98@example.com,2025-09-29,PREMIUM
CUST00099,Baghyawati Kade,baghyawati.kade99@example.com,2025-10-15,REGULAR
CUST00100,Samar Lalla,samar.lalla100@example.com,2026-02-26,PREMIUM
CUST00101,Zayan Behl,zayan.behl101@example.com,2026-05-23,REGULAR
CUST00102,Pallavi Malhotra,pallavi.malhotra102@example.com,2026-03-07,REGULAR
CUST00103,Aarush Nath,aarush.nath103@example.com,2025-04-15,REGULAR
CUST00104,Adweta Edwin,adweta.edwin104@example.com,2026-03-06,REGULAR
CUST00105,Prisha Andra,prisha.andra105@example.com,2025-06-13,PREMIUM
CUST00106,Faqid Dixit,faqid.dixit106@example.com,2026-05-08,PREMIUM
CUST00107,Kala Divan,kala.divan107@example.com,2025-07-15,PREMIUM
CUST00108,Joshua Barman,joshua.barman108@example.com,2025-03-13,REGULAR
CUST00109,Janya Baral,janya.baral109@example.com,2025-02-04,REGULAR
CUST00110,Shivansh Krish,shivansh.krish110@example.com,2026-05-10,VIP
CUST00111,Irya Ray,irya.ray111@example.com,2025-12-10,REGULAR
CUST00112,Warjas Gaba,warjas.gaba112@example.com,2025-01-08,REGULAR
CUST00113,Nitara Bakshi,nitara.bakshi113@example.com,2026-06-21,PREMIUM
CUST00114,Gaurangi Sabharwal,gaurangi.sabharwal114@example.com,2025-10-14,REGULAR
CUST00115,Amara Dutta,amara.dutta115@example.com,2025-04-09,REGULAR
CUST00116,Lavanya Barad,lavanya.barad116@example.com,2025-01-31,PREMIUM
CUST00117,Tristan Iyengar,tristan.iyengar117@example.com,2025-07-13,REGULAR
CUST00118,Inaya Mody,inaya.mody118@example.com,2026-03-11,PREMIUM
CUST00119,Udant Bajwa,udant.bajwa119@example.com,2026-04-28,PREMIUM
CUST00120,Mohini Narasimhan,mohini.narasimhan120@example.com,2025-07-03,PREMIUM
CUST00121,Ekaraj Mallick,ekaraj.mallick121@example.com,2025-05-18,PREMIUM
CUST00122,Yashodhara Ratta,yashodhara.ratta122@example.com,2025-09-16,PREMIUM
CUST00123,Ayaan D’Alia,ayaan.d’alia123@example.com,2026-06-05,PREMIUM
CUST00124,Pranav Lanka,pranav.lanka124@example.com,2025-07-27,REGULAR
CUST00125,Ikbal Saraf,ikbal.saraf125@example.com,2025-10-25,PREMIUM
CUST00126,Dipta Sarin,dipta.sarin126@example.com,2025-06-22,REGULAR
CUST00127,Lekha Gupta,lekha.gupta127@example.com,2025-09-29,REGULAR
CUST00128,Chaitanya Sarin,chaitanya.sarin128@example.com,2025-06-26,REGULAR
CUST00129,Zinal Yohannan,zinal.yohannan129@example.com,2025-11-06,REGULAR
CUST00130,Januja Sankar,januja.sankar130@example.com,2025-08-05,REGULAR
CUST00131,Ganga Murthy,ganga.murthy131@example.com,2026-06-12,VIP
CUST00132,Charita Tripathi,charita.tripathi132@example.com,2025-01-22,REGULAR
CUST00133,Nilima Narain,nilima.narain133@example.com,2025-05-19,REGULAR
CUST00134,Chakrika Datta,chakrika.datta134@example.com,2025-01-30,REGULAR
CUST00135,Osha Raghavan,osha.raghavan135@example.com,2025-09-01,REGULAR
CUST00136,Charvi Ravi,charvi.ravi136@example.com,2025-03-31,REGULAR
CUST00137,Daksha Mangat,daksha.mangat137@example.com,2025-07-17,REGULAR
CUST00138,Qushi Nagy,qushi.nagy138@example.com,2026-02-08,PREMIUM
CUST00139,Riya Sathe,riya.sathe139@example.com,2026-06-05,REGULAR
CUST00140,Yasti Solanki,yasti.solanki140@example.com,2026-05-31,PREMIUM
CUST00141,Frado Mander,frado.mander141@example.com,2026-05-31,PREMIUM
CUST00142,Girik Keer,girik.keer142@example.com,2025-08-22,REGULAR
CUST00143,Umang Issac,umang.issac143@example.com,2025-09-11,REGULAR
CUST00144,Aryan Batra,aryan.batra144@example.com,2025-04-09,REGULAR
CUST00145,Vaishnavi Bora,vaishnavi.bora145@example.com,2025-10-22,REGULAR
CUST00146,Oeshi Hayer,oeshi.hayer146@example.com,2026-04-24,REGULAR
CUST00147,Warda Ratta,warda.ratta147@example.com,2025-01-01,REGULAR
CUST00148,Manbir Ahluwalia,manbir.ahluwalia148@example.com,2026-03-27,REGULAR
CUST00149,Pavani Kanda,pavani.kanda149@example.com,2025-12-10,REGULAR
CUST00150,Zarna Shetty,zarna.shetty150@example.com,2026-01-03,PREMIUM
CUST00151,Zaid Dara,zaid.dara151@example.com,2025-05-12,REGULAR
CUST00152,Kiaan Shetty,kiaan.shetty152@example.com,2026-05-31,REGULAR
CUST00153,Saanvi Thaman,saanvi.thaman153@example.com,2025-07-02,REGULAR
CUST00154,Sanaya Dutt,sanaya.dutt154@example.com,2025-06-04,REGULAR
CUST00155,Shivani Lad,shivani.lad155@example.com,2026-01-05,REGULAR
CUST00156,Aradhana Verma,aradhana.verma156@example.com,2025-12-20,REGULAR
CUST00157,William Maharaj,william.maharaj157@example.com,2025-06-01,PREMIUM
CUST00158,Faras Mangal,faras.mangal158@example.com,2025-11-07,REGULAR
CUST00159,Anita Nayak,anita.nayak159@example.com,2025-01-05,PREMIUM
CUST00160,Faris Devi,faris.devi160@example.com,2025-03-24,PREMIUM
CUST00161,Vihaan Rajagopal,vihaan.rajagopal161@example.com,2026-06-25,REGULAR
CUST00162,Tanish Bhatt,tanish.bhatt162@example.com,2025-07-13,PREMIUM
CUST00163,Nikita Narayanan,nikita.narayanan163@example.com,2025-04-14,PREMIUM
CUST00164,Ojasvi Bhatia,ojasvi.bhatia164@example.com,2026-03-11,REGULAR
CUST00165,Osha Ramachandran,osha.ramachandran165@example.com,2025-12-10,REGULAR
CUST00166,Lajita Sood,lajita.sood166@example.com,2026-01-28,REGULAR
CUST00167,Indira Misra,indira.misra167@example.com,2025-12-13,PREMIUM
CUST00168,Oni Yohannan,oni.yohannan168@example.com,2026-01-04,REGULAR
CUST00169,Vinaya Kanda,vinaya.kanda169@example.com,2026-05-11,REGULAR
CUST00170,Rajata Sunder,rajata.sunder170@example.com,2026-01-12,REGULAR
CUST00171,Lopa Nayar,lopa.nayar171@example.com,2025-03-02,PREMIUM
CUST00172,Noah Sibal,noah.sibal172@example.com,2025-09-18,REGULAR
CUST00173,Avi Ramesh,avi.ramesh173@example.com,2025-04-18,REGULAR
CUST00174,Fiyaz Sangha,fiyaz.sangha174@example.com,2025-04-29,PREMIUM
CUST00175,Triya Gopal,triya.gopal175@example.com,2025-11-13,REGULAR
CUST00176,Abha Raghavan,abha.raghavan176@example.com,2025-02-18,REGULAR
CUST00177,Siddharth Sha,siddharth.sha177@example.com,2026-03-30,PREMIUM
CUST00178,Geetika Raghavan,@gmail.com,2026-01-06,REGULAR
CUST00179,Oviya Krishnan,oviya.krishnan179@example.com,2025-10-30,PREMIUM
CUST00180,Upma Bahl,upma.bahl180@example.com,2025-11-22,REGULAR
CUST00181,Inaya Kapur,inaya.kapur181@example.com,2026-04-14,PREMIUM
CUST00182,Banjeet Balasubramanian,banjeet.balasubramanian182@example.com,2025-07-31,REGULAR
CUST00183,Ryan Bahri,ryan.bahri183@example.com,2025-09-19,REGULAR
CUST00184,William Date,william.date184@example.com,2025-05-09,PREMIUM
CUST00185,Ishwar Kamdar,ishwar.kamdar185@example.com,2026-04-29,REGULAR
CUST00186,Aahana Pillay,aahana.pillay186@example.com,2026-04-05,REGULAR
CUST00187,Ishwar Gade,ishwar.gade187@example.com,2026-05-15,REGULAR
CUST00188,Hritik Bal,hritik.bal188@example.com,2025-05-22,REGULAR
CUST00189,Keya Ranganathan,keya.ranganathan189@example.com,2025-06-14,REGULAR
CUST00190,Faqid Kibe,faqid.kibe190@example.com,2025-10-22,REGULAR
CUST00191,Charvi Dara,charvi.dara191@example.com,2025-11-24,REGULAR
CUST00192,Idika Walia,idika.walia192@example.com,2025-01-16,PREMIUM
CUST00193,Kamala Biswas,kamala.biswas193@example.com,2025-09-29,REGULAR
CUST00194,Advik Salvi,advik.salvi194@example.com,2026-05-22,REGULAR
CUST00195,Hitesh Sant,hitesh.sant195@example.com,2025-07-12,REGULAR
CUST00196,Tripti Dua,tripti.dua196@example.com,2025-04-29,REGULAR
CUST00197,Patrick Vig,patrick.vig197@example.com,2025-03-30,REGULAR
CUST00198,Veda Shroff,veda.shroff198@example.com,2026-06-28,REGULAR
CUST00199,Amrita Naidu,amrita.naidu199@example.com,2026-04-16,REGULAR
CUST00200,Gabriel Mallick,gabriel.mallick200@example.com,2025-03-30,PREMIUM
CUST00201,Yagnesh Shetty,yagnesh.shetty201@example.com,2025-08-30,REGULAR
CUST00202,Gayathri Balakrishnan,gayathri.balakrishnan202@example.com,2025-08-31,REGULAR
CUST00203,Ekta Gopal,ekta.gopal203@example.com,2025-10-19,REGULAR
CUST00204,Simon Pant,simon.pant204@example.com,2025-03-01,REGULAR
CUST00205,Harini Mammen,harini.mammen205@example.com,2025-07-08,REGULAR
CUST00206,Advaith Varughese,advaith.varughese206@example.com,2026-06-16,REGULAR
CUST00207,Frederick Khurana,frederick.khurana207@example.com,2026-03-16,PREMIUM
CUST00208,Vrinda Khosla,vrinda.khosla208@example.com,2025-11-29,REGULAR
CUST00209,Vritti Sem,vritti.sem209@example.com,2026-05-18,REGULAR
CUST00210,Girik Menon,girik.menon210@example.com,2026-01-16,REGULAR
CUST00211,Nidhi Kohli,nidhi.kohli211@example.com,2026-05-09,PREMIUM
CUST00212,Jyoti Solanki,jyoti.solanki212@example.com,2025-04-29,REGULAR
CUST00213,Pavani Narayanan,pavani.narayanan213@example.com,2026-05-21,REGULAR
CUST00214,Sudiksha Madan,sudiksha.madan214@example.com,2026-02-23,PREMIUM
CUST00215,Zayan Kashyap,zayan.kashyap215@example.com,2026-04-06,REGULAR
CUST00216,Reyansh Mutti,reyansh.mutti216@example.com,2025-03-09,REGULAR
CUST00217,Qasim Handa,qasim.handa217@example.com,2025-12-27,REGULAR
CUST00218,Veda Malhotra,veda.malhotra218@example.com,2025-09-19,REGULAR
CUST00219,Harish Hari,harish.hari219@example.com,2025-05-22,REGULAR
CUST00220,Utkarsh Patel,utkarsh.patel220@example.com,2025-07-20,REGULAR
CUST00221,Chasmum Atwal,chasmum.atwal221@example.com,2026-06-29,PREMIUM
CUST00222,Anusha Bath,anusha.bath222@example.com,2026-02-06,PREMIUM
CUST00223,Brinda Date,brinda.date223@example.com,2025-11-12,REGULAR
CUST00224,Harshil Arora,harshil.arora224@example.com,2026-06-21,REGULAR
CUST00225,Upasna Srinivas,upasna.srinivas225@example.com,2025-12-15,PREMIUM
CUST00226,Harini Gour,harini.gour226@example.com,2025-06-22,REGULAR
CUST00227,Zayyan Sridhar,zayyan.sridhar227@example.com,2026-05-31,REGULAR
CUST00228,Dhruv Rattan,dhruv.rattan228@example.com,2026-02-17,REGULAR
CUST00229,Ethan Bera,ethan.bera229@example.com,2026-03-04,REGULAR
CUST00230,Manthan Modi,manthan.modi230@example.com,2025-07-30,REGULAR
CUST00231,Yuvraj Dani,yuvraj.dani231@example.com,2025-05-30,REGULAR
CUST00232,Upkaar Virk,upkaar.virk232@example.com,2026-06-21,REGULAR
CUST00233,Shravya Savant,shravya.savant233@example.com,2026-01-12,REGULAR
CUST00234,Pushti Mody,pushti.mody234@example.com,2026-02-12,REGULAR
CUST00235,Hardik Johal,hardik.johal235@example.com,2025-05-31,REGULAR
CUST00236,Aishani Bumb,aishani.bumb236@example.com,2025-08-23,REGULAR
CUST00237,Wriddhish Ghose,wriddhish.ghose237@example.com,2025-08-02,REGULAR
CUST00238,Naksh Agate,naksh.agate238@example.com,2025-08-15,REGULAR
CUST00239,Shravya Singhal,shravya.singhal239@example.com,2026-01-17,REGULAR
CUST00240,Bachittar Kata,bachittar.katagmail.com,2025-12-31,REGULAR
CUST00241,Barkha Setty,barkha.setty241@example.com,2025-02-09,REGULAR
CUST00242,Vivaan Lalla,vivaan.lalla242@example.com,2025-03-30,PREMIUM
CUST00243,Pavani Contractor,pavani.contractor243@example.com,2025-02-27,REGULAR
CUST00244,Manthan Lata,manthan.lata244@example.com,2025-04-28,REGULAR
CUST00245,Ekbal Bhasin,ekbal.bhasin245@example.com,2025-08-24,REGULAR
CUST00246,Damyanti Mani,damyanti.mani246@example.com,2026-03-10,PREMIUM
CUST00247,Jeet Sidhu,jeet.sidhu247@example.com,2026-04-26,REGULAR
CUST00248,Neha Magar,neha.magar248@example.com,2025-12-16,PREMIUM
CUST00249,Raksha Buch,raksha.buch249@example.com,2026-04-03,VIP
CUST00250,Rachana Naidu,rachana.naidu250@example.com,2026-04-28,REGULAR
CUST00251,Atharv Chand,atharv.chand251@example.com,2025-03-19,PREMIUM
CUST00252,Ansh Luthra,ansh.luthra252@example.com,2025-06-13,REGULAR
CUST00253,Parth Singhal,parth.singhal253@example.com,2025-07-06,REGULAR
CUST00254,Arunima Golla,arunima.golla254@example.com,2025-01-03,REGULAR
CUST00255,Vyanjana Chand,vyanjana.chand255@example.com,2025-12-31,REGULAR
CUST00256,Ijaya Rege,ijaya.rege256@example.com,2025-08-08,PREMIUM
CUST00257,Ekani Cheema,ekani.cheema257@example.com,2026-06-18,REGULAR
CUST00258,Forum Sabharwal,forum.sabharwal258@example.com,2026-05-01,REGULAR
CUST00259,Bhavya Rattan,bhavya.rattan259@example.com,2025-06-03,REGULAR
CUST00260,Suhani Chakrabarti,suhani.chakrabarti260@example.com,2026-05-19,REGULAR
CUST00261,Zayyan Naik,zayyan.naik261@example.com,2025-04-21,REGULAR
CUST00262,Netra Varkey,netra.varkey262@example.com,2025-08-27,REGULAR
CUST00263,Turvi Sachdev,turvi.sachdev263@example.com,2025-08-13,REGULAR
CUST00264,Raghav Vasa,raghav.vasa264@example.com,2025-08-25,REGULAR
CUST00265,Wishi Sathe,wishi.sathe265@example.com,2026-01-24,REGULAR
CUST00266,Samar Loke,samar.loke266@example.com,2026-04-10,REGULAR
CUST00267,Bhavna Sarma,bhavna.sarma267@example.com,2025-09-08,REGULAR
CUST00268,Jairaj Balakrishnan,jairaj.balakrishnan268@example.com,2025-06-27,VIP
CUST00269,Nathan Mukhopadhyay,nathan.mukhopadhyay269@example.com,2026-03-23,REGULAR
CUST00270,Nikita Chander,nikita.chander270@example.com,2026-06-07,PREMIUM
CUST00271,Ishaan Shenoy,ishaan.shenoy271@example.com,2025-05-17,REGULAR
CUST00272,Mitesh Tara,mitesh.tara272@example.com,2025-08-05,REGULAR
CUST00273,Yashodhara Mahajan,yashodhara.mahajan273@example.com,2026-05-09,PREMIUM
CUST00274,Vasudha Sodhi,vasudha.sodhi274@example.com,2026-01-01,REGULAR
CUST00275,Tanmayi Dhillon,tanmayi.dhillon275@example.com,2026-06-05,REGULAR
CUST00276,Rayaan Trivedi,rayaan.trivedi276@example.com,2025-11-16,REGULAR
CUST00277,Ekaraj Majumdar,ekaraj.majumdar277@example.com,2025-11-08,PREMIUM
CUST00278,Harini Tripathi,harini.tripathi278@example.com,2025-12-20,REGULAR
CUST00279,Aarnav Mandal,aarnav.mandal279@example.com,2025-04-01,VIP
CUST00280,Vrishti Dixit,vrishti.dixit280@example.com,2026-02-04,PREMIUM
CUST00281,Veda Pai,@gmail.com,2025-11-17,REGULAR
CUST00282,Krishna Shah,krishna.shah282@example.com,2026-04-29,PREMIUM
CUST00283,Ranbir Khare,ranbir.khare283@example.com,2025-02-10,REGULAR
CUST00284,Vivaan Roy,vivaan.roy284@example.com,2025-08-12,REGULAR
CUST00285,Eesha Solanki,eesha.solanki285@example.com,2025-04-05,REGULAR
CUST00286,Libni Doshi,libni.doshi286@example.com,2025-07-05,PREMIUM
CUST00287,Balhaar Date,balhaar.date287@example.com,2025-01-11,REGULAR
CUST00288,Harish Sarraf,harish.sarraf288@example.com,2025-03-30,REGULAR
CUST00289,Tanmayi Aurora,tanmayi.aurora289@example.com,2025-04-30,REGULAR
CUST00290,Nimrat Dubey,nimrat.dubey290@example.com,2026-01-31,PREMIUM
CUST00291,Upasna Lanka,upasna.lanka291@example.com,2026-01-10,VIP
CUST00292,Mitali Buch,mitali.buch292@example.com,2026-03-05,REGULAR
CUST00293,Lajita Nadig,lajita.nadig293@example.com,2026-04-11,REGULAR
CUST00294,Balendra Biswas,balendra.biswas294@example.com,2025-02-24,REGULAR
CUST00295,Bhavna Karan,bhavna.karan295@example.com,2025-11-19,REGULAR
CUST00296,Radha Chaudhari,radha.chaudhari296@example.com,2025-07-27,PREMIUM
CUST00297,Sachi Ganesan,sachi.ganesan297@example.com,2025-08-20,PREMIUM
CUST00298,Ayush Batra,ayush.batra298@example.com,2026-05-28,REGULAR
CUST00299,Daksh Memon,daksh.memon299@example.com,2026-02-23,REGULAR
CUST00300,Kavya Sankar,kavya.sankar300@example.com,2026-02-27,REGULAR
CUST00301,Yash Wali,yash.wali301@example.com,2025-05-27,VIP
CUST00302,Pranit Garde,pranit.garde302@example.com,2025-10-25,REGULAR
CUST00303,Farhan Raja,farhan.raja303@example.com,2025-02-03,REGULAR
CUST00304,Widisha Dhar,widisha.dhar304@example.com,2025-10-24,REGULAR
CUST00305,Triya Kumar,triya.kumar305@example.com,2026-05-22,VIP
CUST00306,Aadhya Andra,aadhya.andra306@example.com,2025-01-29,REGULAR
CUST00307,Bhavna Dugar,bhavna.dugar307@example.com,2025-09-15,PREMIUM
CUST00308,Riya Pai,riya.pai308@example.com,2025-12-08,REGULAR
CUST00309,Panini Krishna,panini.krishna309@example.com,2025-01-12,PREMIUM
CUST00310,Chasmum Issac,chasmum.issac310@example.com,2026-05-24,VIP
CUST00311,Vasudha Chhabra,vasudha.chhabra311@example.com,2025-07-25,REGULAR
CUST00312,Lakshmi Parmer,lakshmi.parmer312@example.com,2026-05-20,REGULAR
CUST00313,Chakrika Bains,chakrika.bains313@example.com,2026-06-08,PREMIUM
CUST00314,Anvi Anand,anvi.anand314@example.com,2025-09-03,REGULAR
CUST00315,Watika Mangat,watika.mangat315@example.com,2026-01-15,PREMIUM
CUST00316,Indira Kanda,indira.kanda316@example.com,2025-02-23,REGULAR
CUST00317,Zashil Devan,zashil.devan317@example.com,2025-08-12,VIP
CUST00318,Balveer More,balveer.more318@example.com,2025-12-04,VIP
CUST00319,Bahadurjit Patla,bahadurjit.patla319@example.com,2026-07-01,PREMIUM
CUST00320,Gautam Merchant,gautam.merchant320@example.com,2026-06-24,REGULAR
CUST00321,Ojasvi Gill,ojasvi.gill321@example.com,2025-09-09,PREMIUM
CUST00322,Kevin Zacharia,kevin.zacharia322@example.com,2025-10-19,REGULAR
CUST00323,Yachana Mahajan,yachana.mahajan323@example.com,2025-11-17,REGULAR
CUST00324,Aarini Subramaniam,aarini.subramaniam324@example.com,2025-05-13,REGULAR
CUST00325,Hamsini Contractor,hamsini.contractor325@example.com,2025-10-25,REGULAR
CUST00326,Faqid Dhaliwal,faqid.dhaliwal326@example.com,2026-03-29,REGULAR
CUST00327,Mekhala Pau,mekhala.pau327@example.com,2025-07-17,REGULAR
CUST00328,Megha Atwal,megha.atwal328@example.com,2025-12-28,PREMIUM
CUST00329,Jatin Sha,jatin.sha329@example.com,2025-05-03,REGULAR
CUST00330,Adweta Raj,adweta.raj330@example.com,2026-04-02,REGULAR
CUST00331,Hritik Kaur,hritik.kaur331@example.com,2026-06-21,REGULAR
CUST00332,Aryan Narang,aryan.narang332@example.com,2025-06-04,VIP
CUST00333,Dev Shetty,dev.shetty333@example.com,2025-03-24,REGULAR
CUST00334,Nilima Dada,nilima.dada334@example.com,2026-03-23,REGULAR
CUST00335,Chakradev Barad,chakradev.barad335@example.com,2025-01-18,VIP
CUST00336,Waida D’Alia,waida.d’alia336@example.com,2025-08-02,REGULAR
CUST00337,Wahab Yogi,wahab.yogi337@example.com,2025-02-08,PREMIUM
CUST00338,Lipika Setty,lipika.setty338@example.com,2025-08-11,PREMIUM
